dt,dr,dh
6.27E-05,-0.0007875,-0.00077865
6.28E-05,-0.00078734,-0.00077849
6.29E-05,-0.00078718,-0.00077834
6.30E-05,-0.00078701,-0.00077818
6.31E-05,-0.00078685,-0.00077803
6.32E-05,-0.00078669,-0.00077788
6.33E-05,-0.00078653,-0.00077772
6.34E-05,-0.00078637,-0.00077757
6.35E-05,-0.0007862,-0.00077741
6.36E-05,-0.00078604,-0.00077726
6.37E-05,-0.00078588,-0.0007771
6.38E-05,-0.00078572,-0.00077695
6.39E-05,-0.00078556,-0.00077679
6.40E-05,-0.00078539,-0.00077664
6.41E-05,-0.00078523,-0.00077648
6.42E-05,-0.00078507,-0.00077633
6.43E-05,-0.00078491,-0.00077617
6.44E-05,-0.00078475,-0.00077602
6.45E-05,-0.00078458,-0.00077586
6.46E-05,-0.00078442,-0.00077571
6.47E-05,-0.00078426,-0.00077555
6.48E-05,-0.0007841,-0.0007754
6.49E-05,-0.00078394,-0.00077524
6.50E-05,-0.00078378,-0.00077509
6.51E-05,-0.00078361,-0.00077493
6.52E-05,-0.00078345,-0.00077478
6.53E-05,-0.00078329,-0.00077462
6.54E-05,-0.00078313,-0.00077447
6.55E-05,-0.00078297,-0.00077431
6.56E-05,-0.00078281,-0.00077415
6.57E-05,-0.00078265,-0.000774
6.58E-05,-0.00078248,-0.00077384
6.59E-05,-0.00078232,-0.00077369
6.60E-05,-0.00078216,-0.00077353
6.61E-05,-0.000782,-0.00077338
6.62E-05,-0.00078184,-0.00077322
6.63E-05,-0.00078168,-0.00077306
6.64E-05,-0.00078152,-0.00077291
6.65E-05,-0.00078136,-0.00077275
6.66E-05,-0.00078119,-0.0007726
6.67E-05,-0.00078103,-0.00077244
6.68E-05,-0.00078087,-0.00077228
6.69E-05,-0.00078071,-0.00077213
6.70E-05,-0.00078055,-0.00077197
6.71E-05,-0.00078039,-0.00077181
6.72E-05,-0.00078023,-0.00077166
6.73E-05,-0.00078007,-0.0007715
6.74E-05,-0.00077991,-0.00077135
6.75E-05,-0.00077975,-0.00077119
6.76E-05,-0.00077959,-0.00077103
6.77E-05,-0.00077942,-0.00077088
6.78E-05,-0.00077926,-0.00077072
6.79E-05,-0.0007791,-0.00077057
6.80E-05,-0.00077894,-0.00077041
6.81E-05,-0.00077878,-0.00077025
6.82E-05,-0.00077862,-0.0007701
6.83E-05,-0.00077846,-0.00076994
6.84E-05,-0.0007783,-0.00076978
6.85E-05,-0.00077814,-0.00076963
6.86E-05,-0.00077798,-0.00076947
6.87E-05,-0.00077782,-0.00076931
6.88E-05,-0.00077766,-0.00076916
6.89E-05,-0.0007775,-0.000769
6.90E-05,-0.00077734,-0.00076885
6.91E-05,-0.00077718,-0.00076869
6.92E-05,-0.00077702,-0.00076853
6.93E-05,-0.00077686,-0.00076838
6.94E-05,-0.0007767,-0.00076822
6.95E-05,-0.00077654,-0.00076806
6.96E-05,-0.00077638,-0.00076791
